,0,1,2
0,"The GENERAL MANAGER, Richard, spoke to me, admonishing me, like I was a child",Unprofessional employees,"[u'unprofession', u'employe']"
1,0 care about customer service no one was personable,Unprofessional employees,"[u'unprofession', u'employe']"
