,LA
0,0.0
1,1891953.0
2,3185425.8636863185
3,4445973.193888739
4,5852095.235586007
5,6525506.553777977
6,6927587.262063711
7,7234550.4864805285
8,7774561.786651231
9,7954238.245560907
10,8787764.544729382
11,9394965.87226502
12,10107779.84007141
13,9465500.699823203
14,9340914.521228017
15,9226264.319868783
