,CHN
0,0.0
1,0.0
2,5375849.0
3,15014577.840325093
4,27357668.33028075
5,43872880.73525447
6,56939986.784159526
7,68294362.56518278
8,85241572.69687991
9,91425562.30212432
10,118986178.8313312
11,144602713.47563857
12,188930893.8189421
13,151498726.0910842
14,145086130.76345804
15,138297536.57353848
