,JPN
0,0.0
1,504521.0
2,850095.4001064389
3,1186131.7991208415
4,1559356.4554894278
5,1766799.0597837842
6,1876560.2800273874
7,1954017.3814557416
8,2090779.2575470472
9,2140239.2335763555
10,2373695.592832453
11,2551796.2085114825
12,2768606.9551381045
13,2596810.1334266635
14,2548506.2120086313
15,2517360.6516224598
