,AP
0,0.0
1,7252486.0
2,13776116.316819765
3,25971755.232660122
4,37402572.9440048
5,44797639.52370877
6,48335166.45650895
7,51539910.15988638
8,59089333.7761713
9,61665690.075017616
10,74810573.50170115
11,82537731.43711248
12,92170503.8781653
13,80387838.49970582
14,77756700.05698434
15,75493913.23894307
