,AP
0,0.0
1,7252486.0
2,16991936.627324935
3,39472497.98048402
4,65839090.81010843
5,85439305.77476643
6,95334345.39987995
7,104502348.00602844
8,127721299.01356256
9,136498095.20815083
10,177893454.84624854
11,205068990.37338474
12,243687277.54955184
13,196595180.49312562
14,187002526.56774524
15,179765906.4091642
