,US
0,0.0
1,1405451.0
2,4222765.607477892
3,9270503.577723185
4,17901611.07116607
5,25335529.411857676
6,30168910.725449167
7,33843511.992132016
8,41152654.35154749
9,43923947.68999733
10,56833557.82110156
11,68955235.58598332
12,85505707.18931001
13,68927065.24306624
14,65575756.11907401
15,62025502.24250278
