,EU
0,0.0
1,5612793.0
2,8093078.7679905845
3,11621776.245079309
4,14263513.643025931
5,15707192.660071444
6,16325978.60453775
7,16884518.662297238
8,18120532.14733698
9,18459103.5752376
10,20424779.34676817
11,21421207.07494015
12,22772131.214233547
13,21244645.342851125
14,20915962.96147341
15,20570249.45210105
