,US
0,0.0
1,1405451.0
2,2346462.3480435256
3,3245126.0578904357
4,4246841.202760919
5,4877962.5039259605
6,5209805.415161865
7,5409838.859655335
8,5793506.8914111145
9,5937354.842932483
10,6554768.30993929
11,7023313.093818483
12,7567612.221601152
13,7113053.077777089
14,7014204.372737793
15,6898186.870911314
