,US
0,0.0
1,1405451.0
2,3249223.9584395005
3,5818675.427663207
4,9435231.683540639
5,11983542.249277133
6,13472282.824356832
7,14651273.015725702
8,16649681.910779683
9,17387048.238676388
10,21109249.979839
11,24273091.62795755
12,28223161.520891093
13,24683274.348444678
14,23936915.955070768
15,23110513.635210343
