,LA
0,0.0
1,1891953.0
2,5628301.912634375
3,12389245.684244184
4,24024561.080311287
5,33062776.100340072
6,39233727.338464566
7,44244577.22952177
8,53778695.70790936
9,57347762.65574792
10,74681008.23938638
11,91263467.52228084
12,113292692.1591952
13,91745619.61891279
14,87705865.38059822
15,83447630.43600357
