,EU
0,0.0
1,5612793.0
2,13086847.161665836
3,30359745.87568527
4,50701051.10396341
5,65284801.068532445
6,73549114.51184088
7,80938855.71064012
8,98748878.17632458
9,105774785.00740393
10,138393824.5849484
11,159632962.44214123
12,189835955.6364295
13,153974032.8096708
14,146801490.8854717
15,139883051.08426908
