,JPN
0,0.0
1,504521.0
2,1169889.9501939516
3,2100499.1288919123
4,3424870.716894476
5,4360648.734295568
6,4895218.850334059
7,5302235.773301091
8,6053245.483195843
9,6345736.305141941
10,7595587.498462962
11,8672185.339587452
12,10091125.536561133
13,8774148.78557417
14,8484592.124803895
15,8267195.503676891
