,JPN
0,0.0
1,504521.0
2,1504630.4316550775
3,3289566.9661384737
4,6370687.902670966
5,9050172.503026264
6,10765636.632494641
7,12089459.499984773
8,14740797.647479134
9,15750649.239755522
10,20547645.419245552
11,24913238.817223363
12,31055898.519976255
13,25261383.2176134
14,24210158.83282899
15,23204323.170906298
