,EU
0,0.0
1,5612793.0
2,10567533.175088575
3,19771882.130122155
4,28547183.01599397
5,34084325.33683807
6,36997708.52794736
7,39369726.95498362
8,45110461.96514639
9,47355579.20770016
10,56879509.76786564
11,63159229.00283908
12,70625334.24436209
13,61695090.16188334
14,60035930.77273021
15,58157241.64672798
