,CHN
0,0.0
1,0.0
2,5375849.0
3,11820156.822209924
4,18357179.149540413
5,25594322.30426498
6,30943091.561508562
7,35044684.683366984
8,40619838.74293137
9,42524863.04490198
10,51403927.623706795
11,58426597.32825569
12,70177488.0304788
13,61557303.81233857
14,59705125.59354931
15,57649289.87879695
