,LA
0,0.0
1,1891953.0
2,4368385.596222802
3,7847942.402376588
4,12696325.852350675
5,15805761.174405573
6,17859491.862936426
7,19322872.908623666
8,22036068.501918882
9,22882766.486788094
10,27545105.56380638
11,31526168.377731267
12,36697349.327739224
13,32139106.280598536
14,30926634.166050162
15,29816523.055402443
