,CHN
0,0.0
1,0.0
2,5375849.0
3,8575493.554379992
4,10915654.354832454
5,13052021.713586533
6,14423602.528336264
7,15376509.868996924
8,16673847.91651468
9,17020290.886959724
10,18629939.664175447
11,19984620.037899002
12,22028187.45810849
13,20637555.52550517
14,20465340.21099768
15,20130828.535744954
