,AP
0,0.0
1,7252486.0
2,10684877.53290446
3,15593273.637934515
4,18859670.93438687
5,20739746.130139533
6,21599373.93392911
7,22206226.297172766
8,23810090.1892984
9,24346456.198487844
10,26744478.474047594
11,28065072.89256291
12,29745058.064868305
13,28013482.398758955
14,27547254.901997585
15,27084318.871688217
